time_s,n_samples,mean_cost,std_cost,q05_cost,q25_cost,median_cost,q75_cost,q95_cost
2.822,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.824,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.826,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.828,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.83,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.832,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.834,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.836,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.838,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.84,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.842,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.844,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.846,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.848,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.85,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.852,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.854,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
